database	pathway	gene
REACTOME	ABC-family proteins mediated transport	Abcc5
REACTOME	ABC-family proteins mediated transport	Abcc6
REACTOME	ABC-family proteins mediated transport	Abcc9
REACTOME	ABC-family proteins mediated transport	Abcd1
REACTOME	ABC-family proteins mediated transport	Abcd2
REACTOME	ABC-family proteins mediated transport	Abcd3
REACTOME	ABC-family proteins mediated transport	Abcf1
REACTOME	ABC-family proteins mediated transport	Abcg1
REACTOME	ABC-family proteins mediated transport	Abcg4
REACTOME	ABC-family proteins mediated transport	Abcg5
REACTOME	ABC-family proteins mediated transport	Abcg8
REACTOME	ABC-family proteins mediated transport	Apoa1
REACTOME	ABC-family proteins mediated transport	Cftr
REACTOME	ABC-family proteins mediated transport	Derl1
REACTOME	ABC-family proteins mediated transport	Derl2
REACTOME	ABC-family proteins mediated transport	Derl3
REACTOME	ABC-family proteins mediated transport	Eif2s1
REACTOME	ABC-family proteins mediated transport	Eif2s2
REACTOME	ABC-family proteins mediated transport	Eif2s3
REACTOME	ABC-family proteins mediated transport	Erlec1
REACTOME	ABC-family proteins mediated transport	Erlin1
REACTOME	ABC-family proteins mediated transport	Erlin2
REACTOME	ABC-family proteins mediated transport	Kcnj11
REACTOME	ABC-family proteins mediated transport	LOC100360846
REACTOME	ABC-family proteins mediated transport	LOC100911356
REACTOME	ABC-family proteins mediated transport	LOC102548286
REACTOME	ABC-family proteins mediated transport	LOC103694875
REACTOME	ABC-family proteins mediated transport	Os9
REACTOME	ABC-family proteins mediated transport	Pex3
REACTOME	ABC-family proteins mediated transport	Psma1
REACTOME	ABC-family proteins mediated transport	Psma2
REACTOME	ABC-family proteins mediated transport	Psma3l
REACTOME	ABC-family proteins mediated transport	Psma4
REACTOME	ABC-family proteins mediated transport	Psma5
REACTOME	ABC-family proteins mediated transport	Psma6
REACTOME	ABC-family proteins mediated transport	Psma7
REACTOME	ABC-family proteins mediated transport	Psma8
REACTOME	ABC-family proteins mediated transport	Psmb1
REACTOME	ABC-family proteins mediated transport	Psmb10
REACTOME	ABC-family proteins mediated transport	Psmb11
REACTOME	ABC-family proteins mediated transport	Psmb2
REACTOME	ABC-family proteins mediated transport	Psmb3
REACTOME	ABC-family proteins mediated transport	Psmb4
REACTOME	ABC-family proteins mediated transport	Psmb5
REACTOME	ABC-family proteins mediated transport	Psmb6
REACTOME	ABC-family proteins mediated transport	Psmb7
REACTOME	ABC-family proteins mediated transport	Psmb8
REACTOME	ABC-family proteins mediated transport	Psmb9
REACTOME	ABC-family proteins mediated transport	Psmc1
REACTOME	ABC-family proteins mediated transport	Psmc2
REACTOME	ABC-family proteins mediated transport	Psmc3
REACTOME	ABC-family proteins mediated transport	Psmc4
REACTOME	ABC-family proteins mediated transport	Psmc5
REACTOME	ABC-family proteins mediated transport	Psmc6
REACTOME	ABC-family proteins mediated transport	Psmd1
REACTOME	ABC-family proteins mediated transport	Psmd10
REACTOME	ABC-family proteins mediated transport	Psmd11
REACTOME	ABC-family proteins mediated transport	Psmd12
REACTOME	ABC-family proteins mediated transport	Psmd13
REACTOME	ABC-family proteins mediated transport	Psmd14
REACTOME	ABC-family proteins mediated transport	Psmd2
REACTOME	ABC-family proteins mediated transport	Psmd3
REACTOME	ABC-family proteins mediated transport	Psmd4
REACTOME	ABC-family proteins mediated transport	Psmd5
REACTOME	ABC-family proteins mediated transport	Psmd6
REACTOME	ABC-family proteins mediated transport	Psmd7
REACTOME	ABC-family proteins mediated transport	Psmd8
REACTOME	ABC-family proteins mediated transport	Psmd9
REACTOME	ABC-family proteins mediated transport	Psme1
REACTOME	ABC-family proteins mediated transport	Psme2
REACTOME	ABC-family proteins mediated transport	Psme3
REACTOME	ABC-family proteins mediated transport	Psme4
REACTOME	ABC-family proteins mediated transport	Psmf1
REACTOME	ABC-family proteins mediated transport	Rnf185
REACTOME	ABC-family proteins mediated transport	Rnf5
REACTOME	ABC-family proteins mediated transport	Rps27a
REACTOME	ABC-family proteins mediated transport	Sel1l
REACTOME	ABC-family proteins mediated transport	Uba52
REACTOME	ABC-family proteins mediated transport	Ubb
REACTOME	ABC-family proteins mediated transport	Ubc
REACTOME	ABC-family proteins mediated transport	Vcp
REACTOME	ABO blood group biosynthesis	Abo
REACTOME	ABO blood group biosynthesis	Abo2
REACTOME	ABO blood group biosynthesis	Fut1
REACTOME	ABO blood group biosynthesis	Fut2
REACTOME	Acetylation	Nat1
REACTOME	Acetylation	Nat2
REACTOME	Acetylation	Nat3
REACTOME	Acetylcholine binding and downstream events	Chrna1
REACTOME	Acetylcholine binding and downstream events	Chrna2
REACTOME	Acetylcholine binding and downstream events	Chrna3
REACTOME	Acetylcholine binding and downstream events	Chrna4
REACTOME	Acetylcholine binding and downstream events	Chrna5
REACTOME	Acetylcholine binding and downstream events	Chrna6
REACTOME	Acetylcholine binding and downstream events	Chrna7
REACTOME	Acetylcholine binding and downstream events	Chrna9
REACTOME	Acetylcholine binding and downstream events	Chrnb2
REACTOME	Acetylcholine binding and downstream events	Chrnb3
REACTOME	Acetylcholine binding and downstream events	Chrnb4
REACTOME	Acetylcholine binding and downstream events	Chrnd
REACTOME	Acetylcholine binding and downstream events	Chrne
REACTOME	Acetylcholine Neurotransmitter Release Cycle	Chat
REACTOME	Acetylcholine Neurotransmitter Release Cycle	Cplx1
REACTOME	Acetylcholine Neurotransmitter Release Cycle	Ppfia1
REACTOME	Acetylcholine Neurotransmitter Release Cycle	Ppfia2
REACTOME	Acetylcholine Neurotransmitter Release Cycle	Ppfia3
REACTOME	Acetylcholine Neurotransmitter Release Cycle	Ppfia4
REACTOME	Acetylcholine Neurotransmitter Release Cycle	Rab3a
REACTOME	Acetylcholine Neurotransmitter Release Cycle	Rims1
REACTOME	Acetylcholine Neurotransmitter Release Cycle	Slc18a3
REACTOME	Acetylcholine Neurotransmitter Release Cycle	Slc5a7
REACTOME	Acetylcholine Neurotransmitter Release Cycle	Snap25
REACTOME	Acetylcholine Neurotransmitter Release Cycle	Stx1a
REACTOME	Acetylcholine Neurotransmitter Release Cycle	Stxbp1
REACTOME	Acetylcholine Neurotransmitter Release Cycle	Syt1
REACTOME	Acetylcholine Neurotransmitter Release Cycle	Tspoap1
REACTOME	Acetylcholine Neurotransmitter Release Cycle	Unc13b
REACTOME	Acetylcholine Neurotransmitter Release Cycle	Vamp2
REACTOME	Acetylcholine regulates insulin secretion	Gna11
REACTOME	Acetylcholine regulates insulin secretion	Gna14
REACTOME	Acetylcholine regulates insulin secretion	Gna15
REACTOME	Acetylcholine regulates insulin secretion	Gnaq
REACTOME	Acetylcholine regulates insulin secretion	Marcks
REACTOME	Acetylcholine regulates insulin secretion	Plcb1
REACTOME	Acetylcholine regulates insulin secretion	Plcb2
REACTOME	Acetylcholine regulates insulin secretion	Plcb3
REACTOME	Acetylcholine regulates insulin secretion	Prkca
REACTOME	Acrosome Reaction and Sperm:Oocyte Membrane Binding	Acr
REACTOME	Acrosome Reaction and Sperm:Oocyte Membrane Binding	Cd9
REACTOME	Acrosome Reaction and Sperm:Oocyte Membrane Binding	Izumo1
REACTOME	Acrosome Reaction and Sperm:Oocyte Membrane Binding	Izumo2
REACTOME	Acrosome Reaction and Sperm:Oocyte Membrane Binding	Izumo3
REACTOME	Acrosome Reaction and Sperm:Oocyte Membrane Binding	Izumo4
REACTOME	Acrosome Reaction and Sperm:Oocyte Membrane Binding	LOC100911976
REACTOME	Activated NOTCH1 Transmits Signal to the Nucleus	Dtx1
REACTOME	Activated NOTCH1 Transmits Signal to the Nucleus	Dtx2
REACTOME	Activated NOTCH1 Transmits Signal to the Nucleus	Dtx4
REACTOME	Activated NOTCH1 Transmits Signal to the Nucleus	Itch
REACTOME	Activated NOTCH1 Transmits Signal to the Nucleus	Rps27a
REACTOME	Activated NOTCH1 Transmits Signal to the Nucleus	Uba52
REACTOME	Activated NOTCH1 Transmits Signal to the Nucleus	Ubb
REACTOME	Activated NOTCH1 Transmits Signal to the Nucleus	Ubc
REACTOME	Activated NTRK2 signals through FRS2 and FRS3	Bdnf
REACTOME	Activated NTRK2 signals through FRS2 and FRS3	Frs2
REACTOME	Activated NTRK2 signals through FRS2 and FRS3	Grb2
REACTOME	Activated NTRK2 signals through FRS2 and FRS3	Ntf4
REACTOME	Activated NTRK2 signals through FRS2 and FRS3	Ntrk2
REACTOME	Activated NTRK2 signals through FRS2 and FRS3	Sos1
REACTOME	Activated NTRK2 signals through FYN	Bdnf
REACTOME	Activated NTRK2 signals through FYN	Dock3
REACTOME	Activated NTRK2 signals through FYN	Fyn
REACTOME	Activated NTRK2 signals through FYN	Ntrk2
REACTOME	Activated NTRK2 signals through FYN	Rac1
REACTOME	Activated NTRK2 signals through PLCG1	Bdnf
REACTOME	Activated NTRK2 signals through PLCG1	Ntf4
REACTOME	Activated NTRK2 signals through PLCG1	Ntrk2
REACTOME	Activated NTRK3 signals through PI3K	Ntf3
REACTOME	Activated NTRK3 signals through PI3K	Ntrk3
REACTOME	Activated NTRK3 signals through PI3K	Src
REACTOME	Activated NTRK3 signals through PLCG1	Ntf3
REACTOME	Activated NTRK3 signals through PLCG1	Ntrk3
REACTOME	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	AABR07040686.1
REACTOME	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	Ar
REACTOME	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	H2ac20
REACTOME	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	H2afb3
REACTOME	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	H2aj
REACTOME	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	H2ax
REACTOME	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	H2az1
REACTOME	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	H2az2
REACTOME	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	H2bc1
REACTOME	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	H2bc12
REACTOME	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	H2bu1
REACTOME	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	H3c1
REACTOME	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	H3f3a
REACTOME	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	H3f3b
REACTOME	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	Hist1h2ail1
REACTOME	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	Hist1h2ak
REACTOME	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	Hist1h2ao
REACTOME	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	Hist1h2bd
REACTOME	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	Hist1h2bl
REACTOME	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	Hist1h2bo
REACTOME	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	Hist1h2bq
REACTOME	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	Hist1h3b
REACTOME	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	Hist1h4b
REACTOME	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	Hist1h4m
REACTOME	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	Hist2h2aa2
REACTOME	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	Hist2h2aa3
REACTOME	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	Hist2h2be
REACTOME	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	Hist2h3c2
REACTOME	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	Hist2h4
REACTOME	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	Hist2h4a
REACTOME	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	Kdm1a
REACTOME	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	LOC100912489
REACTOME	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	LOC100912564
REACTOME	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	LOC102548682
REACTOME	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	LOC102549173
REACTOME	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	LOC103690002
REACTOME	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	LOC684762
REACTOME	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	LOC684797
REACTOME	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	Ncoa2
REACTOME	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	Pkn1
REACTOME	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	RGD1562378
REACTOME	activated TAK1 mediates p38 MAPK activation	Ikbkg
REACTOME	activated TAK1 mediates p38 MAPK activation	Irak1
REACTOME	activated TAK1 mediates p38 MAPK activation	Irak2
REACTOME	activated TAK1 mediates p38 MAPK activation	LOC100910771
REACTOME	activated TAK1 mediates p38 MAPK activation	LOC100912618
REACTOME	activated TAK1 mediates p38 MAPK activation	LOC108348082
REACTOME	activated TAK1 mediates p38 MAPK activation	Map2k3
REACTOME	activated TAK1 mediates p38 MAPK activation	Map2k6
REACTOME	activated TAK1 mediates p38 MAPK activation	Map3k7
REACTOME	activated TAK1 mediates p38 MAPK activation	Mapk11
REACTOME	activated TAK1 mediates p38 MAPK activation	Mapkapk2
REACTOME	activated TAK1 mediates p38 MAPK activation	Mapkapk3
REACTOME	activated TAK1 mediates p38 MAPK activation	Nod1
REACTOME	activated TAK1 mediates p38 MAPK activation	Nod2
REACTOME	activated TAK1 mediates p38 MAPK activation	Ripk2
REACTOME	activated TAK1 mediates p38 MAPK activation	Rps27a
REACTOME	activated TAK1 mediates p38 MAPK activation	Tab1
REACTOME	activated TAK1 mediates p38 MAPK activation	Tab2
REACTOME	activated TAK1 mediates p38 MAPK activation	Tab3
REACTOME	activated TAK1 mediates p38 MAPK activation	Traf6
REACTOME	activated TAK1 mediates p38 MAPK activation	Uba52
REACTOME	activated TAK1 mediates p38 MAPK activation	Ubb
REACTOME	activated TAK1 mediates p38 MAPK activation	Ubc
REACTOME	activated TAK1 mediates p38 MAPK activation	Ube2n
REACTOME	Activation and oligomerization of BAK protein	Bak1
REACTOME	Activation and oligomerization of BAK protein	Bid
REACTOME	Activation of AKT2	Pdpk1
REACTOME	Activation of AKT2	Them4
REACTOME	Activation of AKT2	Trib3
REACTOME	Activation of AMPA receptors	Gria3
REACTOME	Activation of AMPA receptors	Gria4
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Anapc1
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Anapc10
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Anapc11
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Anapc15
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Anapc16
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Anapc2
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Anapc4
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Anapc5
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Anapc7
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Bub1b
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Ccna1
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Ccna2
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Ccnb1
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Cdc16
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Cdc20
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Cdc23
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Cdc26
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Cdc27
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Cdk1
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	LOC100360846
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Mad2l1
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Nek2
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Plk1
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psma1
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psma2
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psma3l
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psma4
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psma5
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psma6
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psma7
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psma8
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psmb1
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psmb10
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psmb11
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psmb2
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psmb3
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psmb4
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psmb5
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psmb6
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psmb7
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psmb8
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psmb9
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psmc1
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psmc2
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psmc3
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psmc4
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psmc5
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psmc6
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psmd1
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psmd10
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psmd11
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psmd12
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psmd13
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psmd14
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psmd2
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psmd3
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psmd4
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psmd5
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psmd6
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psmd7
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psmd8
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psmd9
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psme1
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psme2
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psme3
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psme4
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Psmf1
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Pttg1
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Rps27a
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Uba52
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Ubb
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Ubc
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Ube2c
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Ube2d1
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Ube2e1
REACTOME	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Ube2s
REACTOME	Activation of ATR in response to replication stress	Atr
REACTOME	Activation of ATR in response to replication stress	Atrip
REACTOME	Activation of ATR in response to replication stress	Cdc25a
REACTOME	Activation of ATR in response to replication stress	Cdc25c
REACTOME	Activation of ATR in response to replication stress	Cdc45
REACTOME	Activation of ATR in response to replication stress	Cdc6
REACTOME	Activation of ATR in response to replication stress	Cdc7
REACTOME	Activation of ATR in response to replication stress	Cdk2
REACTOME	Activation of ATR in response to replication stress	Clspn
REACTOME	Activation of ATR in response to replication stress	Dbf4
REACTOME	Activation of ATR in response to replication stress	Hus1
REACTOME	Activation of ATR in response to replication stress	Mcm10
REACTOME	Activation of ATR in response to replication stress	Mcm2
REACTOME	Activation of ATR in response to replication stress	Mcm3
